,filename,fileid,char_start_offset_edu,char_end_offset_edu,speech_edu_id,text_edu,Conflict_Type,Conflict_Target,Target_Country_Name,Conflict_Target_2,Target_Country_Name_2,Conflict_Target_Intermediate,Conflict_Target_Intermediate_2,char_start_offset_edu_original,char_end_offset_edu_original,speech_sentence_id,paragraph_id,paragraph_id_consecutive,paragraph_id_consecutive_per_file,Conflict_IDs,rstree_nodeid,rstree_nodeid_chain,rstree_relation_leaf,rstree_relation_chain,tokenized_edus,len_tokens_edus,sentence_id_consecutive,sentence_id_consecutive_per_file,rstree_edges,sat_value_rstree,rstree_nodeid_chain_subtree,rstree_relation_chain_subtree,rstree_edges_subtree,sat_value_subtree
10,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,596,777,10,"The philosophy of the sponsors of the draft resolution runs counter to one of basic principles of international law, the principle of equal rights and self-determination of peoples,",Direct_NegEval,Underspecified,Underdefined,_,_,-NONE-,_,598,779,6,4,2,2,2.0,11,"['11', '59', '62', '63', '64', '69', '93']",e-elaboration_nucleus,"['e-elaboration_nucleus', 'evidence_nucleus', 'reason-N_nucleus', 'background_nucleus', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['The', 'philosophy', 'of', 'the', 'sponsors', 'of', 'the', 'draft', 'resolution', 'runs', 'counter', 'to', 'one', 'of', 'basic', 'principles', 'of', 'international', 'law', ',', 'the', 'principle', 'of', 'equal', 'rights', 'and', 'self', '-', 'determination', 'of', 'peoples', ',']",32,4,4,7,7,"['11', '59']","['e-elaboration_nucleus', 'evidence_nucleus']",2,2
11,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,778,838,11,enshrined in Article 1 of the Charter of the United Nations.,Direct_NegEval,Underspecified,Underdefined,_,_,-NONE-,_,780,840,6,4,2,2,2.0,12,"['12', '11', '59', '62', '63', '64', '69', '93']",e-elaboration,"['e-elaboration', 'e-elaboration_nucleus', 'evidence_nucleus', 'reason-N_nucleus', 'background_nucleus', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['enshrined', 'in', 'Article', '1', 'of', 'the', 'Charter', 'of', 'the', 'United', 'Nations', '.']",12,4,4,8,8,"['12', '11', '59']","['e-elaboration', 'e-elaboration_nucleus', 'evidence_nucleus']",3,3
12,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,839,925,12,That principle is confirmed in the 1970 Declaration on Principles of International Law,_,_,_,_,_,_,_,841,927,7,4,2,2,3.0,13,"['13', '60', '61', '59', '62', '63', '64', '69', '93']",e-elaboration_nucleus,"['e-elaboration_nucleus', 'list', 'evidence', 'evidence_nucleus', 'reason-N_nucleus', 'background_nucleus', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['That', 'principle', 'is', 'confirmed', 'in', 'the', '1970', 'Declaration', 'on', 'Principles', 'of', 'International', 'Law']",13,5,5,9,8,"['13', '60', '61', '59']","['e-elaboration_nucleus', 'list', 'evidence', 'evidence_nucleus']",4,3
13,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,926,1039,13,"concerning Friendly Relations and Co-operation among States in accordance with the Charter of the United Nations,",_,_,_,_,_,_,_,928,1041,7,4,2,2,3.0,14,"['14', '13', '60', '61', '59', '62', '63', '64', '69', '93']",e-elaboration,"['e-elaboration', 'e-elaboration_nucleus', 'list', 'evidence', 'evidence_nucleus', 'reason-N_nucleus', 'background_nucleus', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['concerning', 'Friendly', 'Relations', 'and', 'Co', '-', 'operation', 'among', 'States', 'in', 'accordance', 'with', 'the', 'Charter', 'of', 'the', 'United', 'Nations', ',']",19,5,5,10,9,"['14', '13', '60', '61', '59']","['e-elaboration', 'e-elaboration_nucleus', 'list', 'evidence', 'evidence_nucleus']",5,4
14,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1040,1099,14,"and in a number of other decisions of the General Assembly,",_,_,_,_,_,_,_,1042,1101,7,4,2,2,3.0,15,"['15', '61', '59', '62', '63', '64', '69', '93']",list,"['list', 'evidence', 'evidence_nucleus', 'reason-N_nucleus', 'background_nucleus', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['and', 'in', 'a', 'number', 'of', 'other', 'decisions', 'of', 'the', 'General', 'Assembly', ',']",12,5,5,8,7,"['15', '61', '59']","['list', 'evidence', 'evidence_nucleus']",3,2
15,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1100,1142,15,as well as the Helsinki Final Act of 1975.,_,_,_,_,_,_,_,1102,1144,7,4,2,2,3.0,16,"['16', '61', '59', '62', '63', '64', '69', '93']",list,"['list', 'evidence', 'evidence_nucleus', 'reason-N_nucleus', 'background_nucleus', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['as', 'well', 'as', 'the', 'Helsinki', 'Final', 'Act', 'of', '1975', '.']",10,5,5,8,7,"['16', '61', '59']","['list', 'evidence', 'evidence_nucleus']",3,2
16,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1143,1214,16,We do not dispute the principle of the territorial integrity of States.,_,_,_,_,_,_,_,1146,1217,9,6,3,3,4.0,17,"['17', '65', '68', '64', '69', '93']",reason-S_nucleus,"['reason-S_nucleus', 'conjunction', 'reason-N', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['We', 'do', 'not', 'dispute', 'the', 'principle', 'of', 'the', 'territorial', 'integrity', 'of', 'States', '.']",13,6,6,6,6,"['17', '65', '68']","['reason-S_nucleus', 'conjunction', 'reason-N']",3,3
17,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1215,1243,17,It is indeed very important.,_,_,_,_,_,_,_,1218,1246,10,6,3,3,4.0,18,"['18', '17', '65', '68', '64', '69', '93']",reason-S,"['reason-S', 'reason-S_nucleus', 'conjunction', 'reason-N', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['It', 'is', 'indeed', 'very', 'important', '.']",6,7,7,7,7,"['18', '17', '65', '68']","['reason-S', 'reason-S_nucleus', 'conjunction', 'reason-N']",4,4
18,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1244,1396,18,"It is also understandable that the enjoyment of the right to self-determination involving separation from an existing State is an extraordinary measure,",_,_,_,_,_,_,_,1247,1399,11,6,3,3,4.0,19,"['19', '94', '95', '68', '64', '69', '93']",e-elaboration_nucleus,"['e-elaboration_nucleus', 'elaboration_nucleus', 'conjunction', 'reason-N', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['It', 'is', 'also', 'understandable', 'that', 'the', 'enjoyment', 'of', 'the', 'right', 'to', 'self', '-', 'determination', 'involving', 'separation', 'from', 'an', 'existing', 'State', 'is', 'an', 'extraordinary', 'measure', ',']",25,8,8,7,7,"['19', '94', '95', '68']","['e-elaboration_nucleus', 'elaboration_nucleus', 'conjunction', 'reason-N']",4,4
19,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1397,1471,19,applied when further coexistence within a single State becomes impossible.,_,_,_,_,_,_,_,1400,1474,11,6,3,3,4.0,20,"['20', '19', '94', '95', '68', '64', '69', '93']",e-elaboration,"['e-elaboration', 'e-elaboration_nucleus', 'elaboration_nucleus', 'conjunction', 'reason-N', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['applied', 'when', 'further', 'coexistence', 'within', 'a', 'single', 'State', 'becomes', 'impossible', '.']",11,8,8,8,8,"['20', '19', '94', '95', '68']","['e-elaboration', 'e-elaboration_nucleus', 'elaboration_nucleus', 'conjunction', 'reason-N']",5,5
20,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1472,1481,20,"Moreover,",_,_,_,_,_,_,_,1475,1484,12,6,3,3,4.0,21,"['21', '66', '67', '94', '95', '68', '64', '69', '93']",elaboration_nucleus,"['elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus', 'conjunction', 'reason-N', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['Moreover', ',']",2,9,9,9,9,"['21', '66', '67', '94', '95', '68']","['elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus', 'conjunction', 'reason-N']",6,6
21,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1482,1511,21,"as practice has demonstrated,",_,_,_,_,_,_,_,1485,1514,12,6,3,3,4.0,22,"['22', '21', '66', '67', '94', '95', '68', '64', '69', '93']",elaboration,"['elaboration', 'elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus', 'conjunction', 'reason-N', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['as', 'practice', 'has', 'demonstrated', ',']",5,9,9,10,10,"['22', '21', '66', '67', '94', '95', '68']","['elaboration', 'elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus', 'conjunction', 'reason-N']",7,7
22,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1512,1667,22,"in the majority of cases, the realization ofpeoples' right to self-determination is achieved without the agreement of the central authorities of the State.",_,_,_,_,_,_,_,1515,1670,12,6,3,3,4.0,23,"['23', '67', '94', '95', '68', '64', '69', '93']",conjunction,"['conjunction', 'elaboration', 'elaboration_nucleus', 'conjunction', 'reason-N', 'reason-N_nucleus', 'elaboration_nucleus', 'root']","['in', 'the', 'majority', 'of', 'cases', ',', 'the', 'realization', 'ofpeoples', ""'"", 'right', 'to', 'self', '-', 'determination', 'is', 'achieved', 'without', 'the', 'agreement', 'of', 'the', 'central', 'authorities', 'of', 'the', 'State', '.']",28,9,9,8,8,"['23', '67', '94', '95', '68']","['conjunction', 'elaboration', 'elaboration_nucleus', 'conjunction', 'reason-N']",5,5
23,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1668,1730,23,"With respect to Crimea, that case resulted from a legal vacuum",Direct_NegEval,Country,ukraine,_,_,-NONE-,_,1672,1734,14,8,4,4,5.0,24,"['24', '71', '72', '91', '90', '92', '69', '93']",result,"['result', 'result_nucleus', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['With', 'respect', 'to', 'Crimea', ',', 'that', 'case', 'resulted', 'from', 'a', 'legal', 'vacuum']",12,10,10,8,7,"['24', '71']","['result', 'result_nucleus']",2,2
24,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1731,1781,24,generated by an unconstitutional armed coup d'etat,Direct_NegEval,Country,ukraine,_,_,-NONE-,_,1735,1785,14,8,4,4,5.0,25,"['25', '71', '72', '91', '90', '92', '69', '93']",e-elaboration_nucleus,"['e-elaboration_nucleus', 'result_nucleus', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['generated', 'by', 'an', 'unconstitutional', 'armed', 'coup', ""d'etat""]",7,10,10,8,7,"['25', '71']","['e-elaboration_nucleus', 'result_nucleus']",2,2
25,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1782,1838,25,"carried out in Kyiv by radical nationalists in February,",Direct_NegEval,Country,ukraine,_,_,-NONE-,_,1786,1842,14,8,4,4,5.0,26,"['26', '70', '25', '71', '72', '91', '90', '92', '69', '93']",conjunction,"['conjunction', 'e-elaboration', 'e-elaboration_nucleus', 'result_nucleus', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['carried', 'out', 'in', 'Kyiv', 'by', 'radical', 'nationalists', 'in', 'February', ',']",10,10,10,10,9,"['26', '70', '25', '71']","['conjunction', 'e-elaboration', 'e-elaboration_nucleus', 'result_nucleus']",4,4
26,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1839,1915,26,as well as by their direct threats to impose their order throughout Ukraine.,Direct_NegEval,Country,ukraine,_,_,-NONE-,_,1843,1919,14,8,4,4,5.0,27,"['27', '70', '25', '71', '72', '91', '90', '92', '69', '93']",conjunction,"['conjunction', 'e-elaboration', 'e-elaboration_nucleus', 'result_nucleus', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['as', 'well', 'as', 'by', 'their', 'direct', 'threats', 'to', 'impose', 'their', 'order', 'throughout', 'Ukraine', '.']",14,10,10,10,9,"['27', '70', '25', '71']","['conjunction', 'e-elaboration', 'e-elaboration_nucleus', 'result_nucleus']",4,4
27,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,1916,2017,27,It should also be noted that generally agreed principles of international law are closely interlinked,_,_,_,_,_,_,_,1921,2022,16,10,5,5,6.0,28,"['28', '73', '30', '74', '31', '75', '96', '79', '91', '90', '92', '69', '93']",conjunction,"['conjunction', 'circumstance', 'circumstance_nucleus', 'circumstance', 'circumstance_nucleus', 'elaboration_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['It', 'should', 'also', 'be', 'noted', 'that', 'generally', 'agreed', 'principles', 'of', 'international', 'law', 'are', 'closely', 'interlinked']",15,11,11,13,11,"['28', '73', '30', '74', '31', '75']","['conjunction', 'circumstance', 'circumstance_nucleus', 'circumstance', 'circumstance_nucleus', 'elaboration_nucleus']",6,6
28,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,2018,2139,28,"and that each should be considered in the light of the others, the relevant political context and historic specificities.",_,_,_,_,_,_,_,2023,2144,16,10,5,5,6.0,29,"['29', '73', '30', '74', '31', '75', '96', '79', '91', '90', '92', '69', '93']",conjunction,"['conjunction', 'circumstance', 'circumstance_nucleus', 'circumstance', 'circumstance_nucleus', 'elaboration_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['and', 'that', 'each', 'should', 'be', 'considered', 'in', 'the', 'light', 'of', 'the', 'others', ',', 'the', 'relevant', 'political', 'context', 'and', 'historic', 'specificities', '.']",21,11,11,13,11,"['29', '73', '30', '74', '31', '75']","['conjunction', 'circumstance', 'circumstance_nucleus', 'circumstance', 'circumstance_nucleus', 'elaboration_nucleus']",6,6
29,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,2140,2242,29,"The political, legal and historic backdrop of the events of today in Ukraine is extremely complicated.",_,_,_,_,_,_,_,2145,2247,17,10,5,5,6.0,30,"['30', '74', '31', '75', '96', '79', '91', '90', '92', '69', '93']",circumstance_nucleus,"['circumstance_nucleus', 'circumstance', 'circumstance_nucleus', 'elaboration_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['The', 'political', ',', 'legal', 'and', 'historic', 'backdrop', 'of', 'the', 'events', 'of', 'today', 'in', 'Ukraine', 'is', 'extremely', 'complicated', '.']",18,12,12,11,9,"['30', '74', '31', '75']","['circumstance_nucleus', 'circumstance', 'circumstance_nucleus', 'elaboration_nucleus']",4,4
30,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,2243,2348,30,"In that context, it is useful to recall that up until 1954, Crimea formed part of the Russian Federation.",_,_,_,_,_,_,_,2248,2353,18,10,5,5,6.0,31,"['31', '75', '96', '79', '91', '90', '92', '69', '93']",circumstance_nucleus,"['circumstance_nucleus', 'elaboration_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['In', 'that', 'context', ',', 'it', 'is', 'useful', 'to', 'recall', 'that', 'up', 'until', '1954', ',', 'Crimea', 'formed', 'part', 'of', 'the', 'Russian', 'Federation', '.']",22,13,13,9,7,"['31', '75']","['circumstance_nucleus', 'elaboration_nucleus']",2,2
31,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,2349,2428,31,It was given to Ukraine in violation of the norms of that time under Soviet law,Indirect_NegEval,Underspecified,Underdefined,_,_,Law_Policy,_,2354,2433,19,10,5,5,7.0,32,"['32', '77', '75', '96', '79', '91', '90', '92', '69', '93']",conjunction,"['conjunction', 'elaboration', 'elaboration_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['It', 'was', 'given', 'to', 'Ukraine', 'in', 'violation', 'of', 'the', 'norms', 'of', 'that', 'time', 'under', 'Soviet', 'law']",16,14,14,10,8,"['32', '77', '75']","['conjunction', 'elaboration', 'elaboration_nucleus']",3,3
32,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,2429,2495,32,"and without taking into account the views of the people of Crimea,",Indirect_NegEval,Underspecified,Underdefined,_,_,Law_Policy,_,2434,2500,19,10,5,5,7.0,33,"['33', '76', '77', '75', '96', '79', '91', '90', '92', '69', '93']",e-elaboration_nucleus,"['e-elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['and', 'without', 'taking', 'into', 'account', 'the', 'views', 'of', 'the', 'people', 'of', 'Crimea', ',']",13,14,14,11,9,"['33', '76', '77', '75']","['e-elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus']",4,4
33,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,2496,2586,33,who nevertheless remained within a single State - the Union of Soviet Socialist Republics.,Indirect_NegEval,Underspecified,Underdefined,_,_,Law_Policy,_,2501,2591,19,10,5,5,7.0,34,"['34', '33', '76', '77', '75', '96', '79', '91', '90', '92', '69', '93']",e-elaboration,"['e-elaboration', 'e-elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['who', 'nevertheless', 'remained', 'within', 'a', 'single', 'State', '-', 'the', 'Union', 'of', 'Soviet', 'Socialist', 'Republics', '.']",15,14,14,12,10,"['34', '33', '76', '77', '75']","['e-elaboration', 'e-elaboration_nucleus', 'conjunction', 'elaboration', 'elaboration_nucleus']",5,5
34,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,UNSC_2014_SPV.7138_spch002,2587,2659,34,"When the Soviet Union fell, Crimea automatically became part of Ukraine.",_,_,_,_,_,_,_,2593,2665,21,12,6,6,8.0,35,"['35', '78', '79', '91', '90', '92', '69', '93']",result_nucleus,"['result_nucleus', 'sequence', 'joint', 'antithesis', 'antithesis_nucleus', 'elaboration', 'elaboration_nucleus', 'root']","['When', 'the', 'Soviet', 'Union', 'fell', ',', 'Crimea', 'automatically', 'became', 'part', 'of', 'Ukraine', '.']",13,15,15,8,6,"['35', '78', '79']","['result_nucleus', 'sequence', 'joint']",3,1
